artist;id;name;nb_fans;nb_album
Taylor Swift (12246);12246;Taylor Swift;9289838;84
Chris Stapleton (343290);343290;Chris Stapleton;175426;15
Gary Lightbody (198661);198661;Gary Lightbody;1544;4
Phoebe Bridgers (1058631);1058631;Phoebe Bridgers;38588;32
The National (1578);1578;The National;295225;26
HAIM (93674);93674;HAIM;115891;20
Shawn Mendes (5962948);5962948;Shawn Mendes;6174668;34
Future (165930);165930;Future;3460618;115
Brendon Urie (4596428);4596428;Brendon Urie;6289;0
Kendrick Lamar (525046);525046;Kendrick Lamar;4883818;32
Bon Iver (78668);78668;Bon Iver;461628;13
ZAYN (9761322);9761322;ZAYN;2440610;22
Ed Sheeran (384236);384236;Ed Sheeran;18611236;118
Chefin (141995332);141995332;Chefin;109743;25
Dave (60142422);60142422;Dave;37;99
Антитіла (5337130);5337130;Антитіла;27598;33
Denise Chaila (58029432);58029432;Denise Chaila;1338;9
Aitch (507896);507896;Aitch;133850;44
Andrea Bocelli (3201);3201;Andrea Bocelli;1098488;83
Ella Mai (11116250);11116250;Ella Mai;718139;8
Zion (17046);17046;Zion;526607;22
Lennox (105778);105778;Lennox;17048;54
Central Cee (12096038);12096038;Central Cee;177923;29
Tion Wayne (8686994);8686994;Tion Wayne;90127;55
PnB Rock (8274374);8274374;PnB Rock;119926;41
Chance the Rapper (4400138);4400138;Chance the Rapper;145322;25
Paulo Londra (12637039);12637039;Paulo Londra;1670155;26
Stormzy (4841158);4841158;Stormzy;785893;36
Papoose (7320);7320;Papoose;8173;64
Big Narstie (4737300);4737300;Big Narstie;12892;3
Yebba (2830461);2830461;Yebba;10887;12
Leto (455796);455796;Leto;624750;67
Elton John (413);413;Elton John;2074700;87
Bring Me the Horizon (12874);12874;Bring Me the Horizon;993147;39
Cardi B (9064930);9064930;Cardi B;2022911;35
Russ (616943);616943;Russ;195160;182
Fireboy Dml (15190997);15190997;Fireboy Dml;248843;19
Vianney (5835993);5835993;Vianney;1235929;18
LUCA LUSH (8910572);8910572;LUCA LUSH;865;29
Jay Kolk (13859793);13859793;Jay Kolk;2;0
Another October (3164781);3164781;Another October;260;33
Lil Wayne (74309);74309;Lil Wayne;5332584;78
Sia Andrew Lambrou (14027479);14027479;Sia Andrew Lambrou;106;0
Joel Corry (8058039);8058039;Joel Corry;71484;94
Grandmaster Flash (66946);66946;Grandmaster Flash;33179;10
Teddy Pendergrass (10808);10808;Teddy Pendergrass;121130;24
Timbaland (9662);9662;Timbaland;1001116;27
Devlin (390742);390742;Devlin;73817;13
Syd (765803);765803;Syd;7238;11
Zhavia (14792173);14792173;Zhavia;20037;1
Ingrid Michaelson (16797);16797;Ingrid Michaelson;65020;31
PARTYNEXTDOOR (4925172);4925172;PARTYNEXTDOOR;613059;15
Kehlani (5603027);5603027;Kehlani;530779;57
Jungleboi (48233682);48233682;Jungleboi;5632;6
R3HAB (1353625);1353625;R3HAB;1696866;147
Shaed (379186);379186;Shaed;33706;25
Sia (3469);3469;Sia;7608866;95
The Chieftains (3332);3332;The Chieftains;14077;53
Ethan Gruska (4428648);4428648;Ethan Gruska;133;10
St. Vincent (14630);14630;St. Vincent;72607;40
GLC (15609);15609;GLC;291;11
Beyoncé (145);145;Beyoncé;11178884;74
Emeli Sandé (563882);563882;Emeli Sandé;486145;47
Rapsody (186408);186408;Rapsody;10089;44
Pharrell Williams (103);103;Pharrell Williams;2968721;21
Mike Will Made-It (5147523);5147523;Mike Will Made-It;141095;13
JAY-Z (1309);1309;JAY-Z;3231726;26
Snoop Dogg (3);3;Snoop Dogg;6942676;152
Ronald Isley (76066);76066;Ronald Isley;2723;8
James Fauntleroy (4448225);4448225;James Fauntleroy;1417;6
Schoolboy Q (1057597);1057597;Schoolboy Q;478825;17
Ab-Soul (1155002);1155002;Ab-Soul;59065;13
Black Hippy (1057598);1057598;Black Hippy;24648;8
Mary J. Blige (152);152;Mary J. Blige;1297376;61
George Clinton (2721);2721;George Clinton;34199;18
Anna Wise (10798268);10798268;Anna Wise;643;13
Bilal (4988);4988;Bilal;14712;19
U2 (163);163;U2;6170843;63
Joey Bada$$ (4105259);4105259;Joey Bada$$;192850;30
A$AP Rocky (1518490);1518490;A$AP Rocky;1696555;28
Action Bronson (1436569);1436569;Action Bronson;55331;30
Danny Brown (1017307);1017307;Danny Brown;37439;19
Big K.R.I.T. (493082);493082;Big K.R.I.T.;39870;39
Yelawolf (410734);410734;Yelawolf;193027;42
Beth Gibbons (80933);80933;Beth Gibbons;18838;2
Skrillex (525643);525643;Skrillex;3718347;49
Dr. Dre (763);763;Dr. Dre;3820517;12
Tanna Leone (162982167);162982167;Tanna Leone;460;4
MC Eiht (241799);241799;MC Eiht;27779;54
Taylour Paige (169810557);169810557;Taylour Paige;195;0
Sam Dew (4456770);4456770;Sam Dew;991;12
Ghostface Killah (2528);2528;Ghostface Killah;99058;51
Summer Walker (14482665);14482665;Summer Walker;418179;20
Zacari (8669346);8669346;Zacari;1253;9
Baby Keem (48947681);48947681;Baby Keem;50574;15
SAMPHA (525619);525619;SAMPHA;68826;9
Amanda Reifer (54208192);54208192;Amanda Reifer;1756;9
Blxst (51353782);51353782;Blxst;21651;31
Mr Hudson (288055);288055;Mr Hudson;5220;19
Miley Cyrus (12436);12436;Miley Cyrus;6329895;35
Lucki (10548057);10548057;Lucki;3477;60
Real Boston Richey (151395942);151395942;Real Boston Richey;134;11
Hotboii (63948992);63948992;Hotboii;7377;36
42 Dugg (13130577);13130577;42 Dugg;61552;26
YoungBoy Never Broke Again (11279454);11279454;YoungBoy Never Broke Again;498794;123
Latto (9551216);9551216;Latto;29530;42
Chris Brown (102);102;Chris Brown;8213268;94
Lil Durk (3977201);3977201;Lil Durk;411760;103
Lil Double 0 (125302752);125302752;Lil Double 0;422;54
DaBaby (11363014);11363014;DaBaby;944992;41
Playboi Carti (10002824);10002824;Playboi Carti;404304;11
Lil Yachty (9776678);9776678;Lil Yachty;354779;47
M.I.A. (3878);3878;M.I.A.;335666;29
Migos (4962010);4962010;Migos;2671228;53
Kanye West (230);230;Kanye West;3965118;53
Nicki Minaj (382937);382937;Nicki Minaj;6688523;60
Juice Wrld (14456487);14456487;Juice Wrld;1915276;28
YG (469671);469671;YG;974643;53
Offset (68334);68334;Offset;615493;24
Rihanna (564);564;Rihanna;15315051;51
Kodak Black (7260670);7260670;Kodak Black;472530;74
EST Gee (14847255);14847255;EST Gee;9712;27
Nardo Wick (92172122);92172122;Nardo Wick;14743;18
24kgoldn (13878655);13878655;24kgoldn;208768;40
James Blake (812409);812409;James Blake;209155;33
Jay Rock (265914);265914;Jay Rock;114300;17
Lil Uzi Vert (7101343);7101343;Lil Uzi Vert;917709;41
SZA (5531258);5531258;SZA;600477;24
The Weeknd (4050205);4050205;The Weeknd;10651154;55
DJ Snake (482758);482758;DJ Snake;5429108;66
Travis Scott (4495513);4495513;Travis Scott;1976378;37
Southside (1088140);1088140;Southside;42593;30
Young Thug (1590752);1590752;Young Thug;1225014;77
Gunna (4344192);4344192;Gunna;482095;55
Lil Baby (398521);398521;Lil Baby;1017934;58
DJ Khaled (5828);5828;DJ Khaled;1415730;50
Juan Magan (176977);176977;Juan Magan;597206;126
Stefflon Don (3972081);3972081;Stefflon Don;146790;50
J Balvin (4860761);4860761;J Balvin;9867580;135
MC Fioti (10833242);10833242;MC Fioti;101773;82
Tems (13905711);13905711;Tems;123861;11
Drake (246791);246791;Drake;22137585;48
Gryffin (7295534);7295534;Gryffin;45926;78
Javier Bardem (8663204);8663204;Javier Bardem;2;0
Carrie Underwood (4388);4388;Carrie Underwood;459636;33
Blake Shelton (8638);8638;Blake Shelton;660240;55
Darius Rucker (243201);243201;Darius Rucker;119059;17
Post Malone (7543848);7543848;Post Malone;3380002;24
Elvis Presley (1125);1125;Elvis Presley;2657101;69
Lyle, Lyle Crocodile Ensemble (185093097);185093097;Lyle, Lyle Crocodile Ensemble;1;0
Winslow Fegley (153163022);153163022;Winslow Fegley;0;0
Constance Wu (185093087);185093087;Constance Wu;0;0
Leon Bridges (7420680);7420680;Leon Bridges;62583;22
Astrid S (7841120);7841120;Astrid S;45507;58
Julia Michaels (2110321);2110321;Julia Michaels;257643;31
teddy<3 (15247957);15247957;teddy<3;130;9
ZEDD (1198612);1198612;ZEDD;1910004;55
Khalid (362326);362326;Khalid;1555331;71
Camilo (58568762);58568762;Camilo;2068765;35
Tainy (4649104);4649104;Tainy;213150;33
Justin Bieber (288166);288166;Justin Bieber;10064765;61
Camila Cabello (9236850);9236850;Camila Cabello;3394550;33
Bastille (1352097);1352097;Bastille;2123039;72
Mmph (11612831);11612831;Mmph;29;5
Thundercat (546520);546520;Thundercat;32975;19
Mura Masa (6087776);6087776;Mura Masa;42840;40
Ludwig Goransson (4553724);4553724;Ludwig Goransson;12131;27
BloodPop® (12978885);12978885;BloodPop®;33002;6
Bartees Strange (58371412);58371412;Bartees Strange;329;21
The Marías (12607183);12607183;The Marías;19933;21
Glitch Gum (88534412);88534412;Glitch Gum;143;24
Fiona Apple (422);422;Fiona Apple;97024;8
Rob Moose (3447571);3447571;Rob Moose;25;3
Mercury Rev (1416);1416;Mercury Rev;11866;43
Matt Berninger (4179209);4179209;Matt Berninger;6300;13
Conor Oberst (110791);110791;Conor Oberst;9864;20
Better Oblivion Community Center (56661962);56661962;Better Oblivion Community Center;2894;3
Lucy Dacus (9325272);9325272;Lucy Dacus;6710;24
Julien Baker (8741264);8741264;Julien Baker;11148;21
John McDaid (4419036);4419036;John McDaid;0;1
 (4407980);4407980;;0;0
 (68);68;;0;0
 (4402393);4402393;;0;0
 (78998);78998;;0;0
Spoon (1280);1280;Spoon;36155;38
The Roots (239);239;The Roots;191713;28
Tom Morello (415645);415645;Tom Morello;70897;35
Pat Monahan (71565);71565;Pat Monahan;2360;1
Juanes (70);70;Juanes;1509935;73
Brandon Flowers (560341);560341;Brandon Flowers;90595;7
Peter Frampton (2210);2210;Peter Frampton;97511;26
John Fogerty (2140);2140;John Fogerty;39550;24
Aloe Blacc (10183);10183;Aloe Blacc;231575;69
Santana (553);553;Santana;1092754;64
Vince Gill (12904);12904;Vince Gill;52960;42
Derek Trucks (410081);410081;Derek Trucks;13307;2
Susan Tedeschi (4091);4091;Susan Tedeschi;19976;8
Steve Earle (3091);3091;Steve Earle;28314;24
Sheryl Crow (1439);1439;Sheryl Crow;160255;41
Ray Benson (195750);195750;Ray Benson;5894;8
The Little Willies (7588);7588;The Little Willies;4714;3
Norah Jones (810);810;Norah Jones;2146670;61
Nathaniel Rateliff (401644);401644;Nathaniel Rateliff;9120;21
Micah Nelson (1675278);1675278;Micah Nelson;1345;3
Margo Price (9587668);9587668;Margo Price;2630;23
Lyle Lovett (134009);134009;Lyle Lovett;7992;28
Lukas Nelson (392934);392934;Lukas Nelson;2386;2
Lee Ann Womack (2313);2313;Lee Ann Womack;25999;21
 (69521);69521;;0;0
 (6076);6076;;0;0
 (144075);144075;;0;0
 (896);896;;0;0
 (5235);5235;;0;0
Eric Church (243606);243606;Eric Church;221844;47
Emmylou Harris (3545);3545;Emmylou Harris;76243;49
Dave Matthews (12202);12202;Dave Matthews;13137;5
Bobby Bare (69519);69519;Bobby Bare;4243;135
The Avett Brothers (255818);255818;The Avett Brothers;26424;21
Willie Nelson (2947);2947;Willie Nelson;289320;124
Bruno Mars (429675);429675;Bruno Mars;10003976;21